,Entry_Datetime,Future_Traded_Price,ATM,Days_to_Expiry,CE_Symbol,CE_Entry_Price,CE_Exit_Price,CE_Exit_Datetime,PE_Symbol,PE_Entry_Price,PE_Exit_Price,PE_Exit_Datetime,PnL
44,2021-03-18 09:19:00,34697.9,34800,0,BANKNIFTY18MAR2134800CE,159.8,0.55,2021-03-18 15:15:00,BANKNIFTY18MAR2134300PE,86.5,112.45,2021-03-18 10:42:00,133.3
45,2021-03-19 09:19:00,33599.0,35200,6,BANKNIFTY25MAR2135200CE,144.15,144.15,2021-03-19 09:36:00,BANKNIFTY25MAR2131700PE,145.7,189.40999999999997,2021-03-19 09:29:00,-43.70999999999998
46,2021-03-22 09:19:00,33866.45,35000,3,BANKNIFTY25MAR2135000CE,154.45,200.78499999999997,2021-03-22 09:48:00,BANKNIFTY25MAR2132400PE,149.2,149.2,2021-03-22 12:20:00,-46.33499999999998
47,2021-03-23 09:19:00,33818.75,34700,2,BANKNIFTY25MAR2134700CE,150.5,195.65,2021-03-23 10:53:00,BANKNIFTY25MAR2132800PE,155.05,155.05,2021-03-23 11:33:00,-45.150000000000006
48,2021-03-24 09:19:00,33888.55,34400,1,BANKNIFTY25MAR2134400CE,149.6,24.7,2021-03-24 15:15:00,BANKNIFTY25MAR2133300PE,148.8,193.44,2021-03-24 10:16:00,80.26
49,2021-03-25 09:19:00,33090.1,33300,0,BANKNIFTY25MAR2133300CE,140.95,140.95,2021-03-25 13:45:00,BANKNIFTY25MAR2132900PE,148.1,192.53,2021-03-25 09:26:00,-44.43000000000001
50,2021-03-26 09:19:00,33569.55,34900,6,BANKNIFTY01APR2134900CE,157.7,69.15,2021-03-26 15:15:00,BANKNIFTY01APR2131700PE,151.45,103.8,2021-03-26 15:15:00,136.2
51,2021-03-30 09:19:00,33850.0,34600,2,BANKNIFTY01APR2134600CE,142.95,114.9,2021-03-30 15:15:00,BANKNIFTY01APR2132600PE,142.7,65.75,2021-03-30 15:15:00,104.99999999999997
52,2021-03-31 09:19:00,33705.9,34000,1,BANKNIFTY01APR2134000CE,152.8,54.6,2021-03-31 15:15:00,BANKNIFTY01APR2133000PE,150.95,196.23499999999999,2021-03-31 10:19:00,52.91500000000002
53,2021-04-01 09:19:00,33679.0,33700,0,BANKNIFTY01APR2133700CE,142.8,142.8,2021-04-01 14:15:00,BANKNIFTY01APR2133400PE,147.95,192.33499999999998,2021-04-01 09:27:00,-44.38499999999999
54,2021-04-05 09:19:00,33527.5,34400,3,BANKNIFTY08APR2134400CE,156.5,44.2,2021-04-05 15:15:00,BANKNIFTY08APR2132200PE,144.4,187.72,2021-04-05 09:34:00,68.98
55,2021-04-06 09:19:00,32501.3,33300,2,BANKNIFTY08APR2133300CE,158.55,206.115,2021-04-06 09:26:00,BANKNIFTY08APR2131200PE,155.75,66.15,2021-04-06 15:15:00,42.035
56,2021-04-07 09:19:00,32624.0,33200,1,BANKNIFTY08APR2133200CE,159.05,206.76500000000001,2021-04-07 09:44:00,BANKNIFTY08APR2131600PE,143.6,20.0,2021-04-07 15:15:00,75.88499999999999
57,2021-04-08 09:19:00,33412.0,33300,0,BANKNIFTY08APR2133300CE,170.7,0.45,2021-04-08 15:15:00,BANKNIFTY08APR2133200PE,156.0,202.8,2021-04-08 09:50:00,123.44999999999999
58,2021-04-09 09:19:00,32558.6,33600,6,BANKNIFTY15APR2133600CE,146.55,190.51500000000001,2021-04-09 10:04:00,BANKNIFTY15APR2131000PE,143.2,85.8,2021-04-09 15:15:00,13.434999999999988
59,2021-04-12 09:19:00,31350.0,32200,3,BANKNIFTY15APR2132200CE,143.3,54.25,2021-04-12 15:15:00,BANKNIFTY15APR2129800PE,153.45,199.48499999999999,2021-04-12 12:06:00,43.015000000000015
60,2021-04-13 09:19:00,31036.0,31600,2,BANKNIFTY15APR2131600CE,153.6,199.68,2021-04-13 09:25:00,BANKNIFTY15APR2130100PE,149.9,36.55,2021-04-13 15:15:00,67.27
61,2021-04-15 09:19:00,32158.95,32200,0,BANKNIFTY15APR2132200CE,129.1,1.85,2021-04-15 15:15:00,BANKNIFTY15APR2131900PE,139.2,180.95999999999998,2021-04-15 09:33:00,85.49000000000001
62,2021-04-16 09:19:00,32259.6,33300,6,BANKNIFTY22APR2133300CE,155.65,92.15,2021-04-16 15:15:00,BANKNIFTY22APR2130800PE,155.45,202.08499999999998,2021-04-16 09:22:00,16.86500000000001
63,2021-04-19 09:19:00,30766.9,31700,3,BANKNIFTY22APR2131700CE,146.6,190.57999999999998,2021-04-19 13:58:00,BANKNIFTY22APR2129100PE,154.65,66.15,2021-04-19 15:15:00,44.52000000000001
